mark,group,bin,position_bp,epi_marg
H3K4me3,HEK293T G4+ promoter,85,855.0,0.007221289910376072
H3K4me3,HEK293T G4+ promoter,86,865.0,0.008679118938744068
H3K4me3,HEK293T G4+ promoter,87,875.0,0.010178949683904648
H3K4me3,HEK293T G4+ promoter,88,885.0,0.008832492865622044
H3K4me3,HEK293T G4+ promoter,89,895.0,0.007971259765326977
H3K4me3,HEK293T G4+ promoter,90,905.0,0.013036136515438557
H3K4me3,HEK293T G4+ promoter,91,915.0,0.01672719419002533
H3K4me3,HEK293T G4+ promoter,92,925.0,0.01015121303498745
H3K4me3,HEK293T G4+ promoter,93,935.0,0.009831919334828854
H3K4me3,HEK293T G4+ promoter,94,945.0,0.010129195638000965
H3K4me3,HEK293T G4+ promoter,95,955.0,0.008970338851213455
H3K4me3,HEK293T G4+ promoter,96,965.0,0.008399310521781445
H3K4me3,HEK293T G4+ promoter,97,975.0,0.008462547324597836
H3K4me3,HEK293T G4+ promoter,98,985.0,0.012486999854445457
H3K4me3,HEK293T G4+ promoter,99,995.0,0.03955196961760521
H3K4me3,HEK293T G4+ enhancer,0,5.0,0.007308604661375284
H3K4me3,HEK293T G4+ enhancer,1,15.0,0.004589227493852377
H3K4me3,HEK293T G4+ enhancer,2,25.0,0.0029282327741384506
H3K4me3,HEK293T G4+ enhancer,3,35.0,0.0018371827900409698
H3K4me3,HEK293T G4+ enhancer,4,45.0,0.0015627768589183688
H3K4me3,HEK293T G4+ enhancer,5,55.0,0.0020496814977377653
H3K4me3,HEK293T G4+ enhancer,6,65.0,0.0028287607710808516
H3K4me3,HEK293T G4+ enhancer,7,75.0,0.00500128511339426
H3K4me3,HEK293T G4+ enhancer,8,85.0,0.008328540250658989
H3K4me3,HEK293T G4+ enhancer,9,95.0,0.00741819990798831
H3K4me3,HEK293T G4+ enhancer,10,105.0,0.009293369948863983
H3K4me3,HEK293T G4+ enhancer,11,115.0,0.013471785932779312
H3K4me3,HEK293T G4+ enhancer,12,125.0,0.009441269561648369
H3K4me3,HEK293T G4+ enhancer,13,135.0,0.005325273144990206
H3K4me3,HEK293T G4+ enhancer,14,145.0,0.008193870075047016
H3K4me3,HEK293T G4+ enhancer,15,155.0,0.029185006394982338
H3K4me3,HEK293T G4+ enhancer,16,165.0,0.015320002101361752
