cell_type,mark,mean_signal
A549,H3K4me3,0.00020368993864394724
A549,H3K4me3,0.0003565255319699645
A549,H3K4me3,0.0003839149430859834
A549,H3K4me3,0.019388381391763687
A549,H3K4me3,0.023486832156777382
A549,H3K4me3,0.024060089141130447
A549,H3K4me3,0.02452690526843071
A549,H3K4me3,0.026661468669772148
A549,H3K4me3,0.027351878583431244
A549,H3K4me3,0.025722000747919083
A549,H3K4me3,0.020406333729624748
A549,H3K4me3,0.018268635496497154
A549,H3K4me3,0.03718356043100357
A549,H3K4me3,0.13796184957027435
A549,H3K4me3,0.12457667291164398
A549,H3K4me3,0.10961820930242538
A549,H3K4me3,0.09527455270290375
A549,H3K4me3,0.04805160313844681
A549,H3K4me3,0.039373770356178284
A549,H3K4me3,0.03273950144648552
A549,H3K4me3,0.03263412043452263
A549,H3K4me3,0.03263412043452263
A549,H3K4me3,0.032626595348119736
A549,H3K4me3,0.0005139824352227151
A549,H3K4me3,0.00042042514542117715
A549,H3K4me3,0.0004158824449405074
A549,H3K4me3,0.00038305032649077475
A549,H3K4me3,0.0002459817915223539
A549,H3K4me3,0.0003262092068325728
A549,H3K4me3,0.001657211221754551
A549,H3K4me3,0.002852350240573287
A549,H3K4me3,0.00397083256393671
A549,H3K4me3,0.004129860084503889
A549,H3K4me3,0.004176250193268061
A549,H3K4me3,0.004186862148344517
A549,H3K4me3,0.004196509253233671
A549,H3K4me3,0.004196702502667904
A549,H3K4me3,0.16118116676807404
A549,H3K4me3,0.1574653685092926
A549,H3K4me3,0.15297219157218933
A549,H3K4me3,0.1375104933977127
A549,H3K4me3,0.19754678010940552
A549,H3K4me3,0.17768658697605133
A549,H3K4me3,0.15427041053771973
A549,H3K4me3,0.15321093797683716
A549,H3K4me3,0.1866336613893509
A549,H3K4me3,0.19575710594654083
A549,H3K4me3,0.22874639928340912
A549,H3K4me3,0.18570849299430847
A549,H3K4me3,0.14538158476352692
A549,H3K4me3,0.18185776472091675
A549,H3K4me3,0.18889978528022766
A549,H3K4me3,0.19483913481235504
A549,H3K4me3,0.18527346849441528
A549,H3K4me3,0.16956931352615356
A549,H3K4me3,0.0029945236165076494
A549,H3K4me3,0.012893379665911198
A549,H3K4me3,0.013657137751579285
A549,H3K4me3,0.013655015267431736
A549,H3K4me3,0.013662919402122498
A549,H3K4me3,0.0010079849744215608
A549,H3K4me3,0.0008298166794702411
A549,H3K4me3,0.0016723443986847997
A549,H3K4me3,0.03198619559407234
A549,H3K4me3,0.03218618780374527
A549,H3K4me3,0.036609672009944916
A549,H3K4me3,0.0389912985265255
A549,H3K4me3,0.03945786505937576
A549,H3K4me3,0.03200836107134819
A549,H3K4me3,0.00011102424468845129
A549,H3K4me3,0.16660098731517792
A549,H3K4me3,0.16743308305740356
A549,H3K4me3,5.709148899768479e-05
A549,H3K4me3,0.00012742466060444713
A549,H3K4me3,7.756164268357679e-05
A549,H3K4me3,0.19409704208374023
A549,H3K4me3,0.18964217603206635
